track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min,song_emotion,Data Split,,random,Track Name (Proper),,Artist Name (Proper)
Stronger,Kanye West,90,Graduation,20,617,717,-7858,0,10,153,564,0,408,49,103992,4,05:12,Sad,Train,,0.141593060875628,Stronger,,Kanye West
After Party,Don Toliver,78,Heaven Or Hell,80,629,692,-8045,1,5,376,981,331,603,453,162948,4,02:48,Neutral,Train,,0.050542279002987,After Party,,Don Toliver
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,70,"King's Dead (with Kendrick Lamar, Future & James Blake)",71,645,705,-5008,1,1,299,813,0,128,376,137133,4,03:50,Neutral,Test,,0.99104828249007,"King'S Dead (With Kendrick Lamar, Future & James Blake)",,Jay Rock
Take It Off,Kesha,76,Animal (Expanded Edition),69,729,675,-5292,0,5,286,0.00414,126,867,74,125036,4,03:35,Sad,Train,,0.342554661009278,Take It Off,,Kesha
3 Musketeers,Nextyoungin,47,3 Musketeers,65,91,617,-10234,1,0,847,258,0,122,572,104972,4,02:47,Neutral,Train,,0.372030563593877,3 Musketeers,,Nextyoungin
Heal Me,Lady Gaga,84,A Star Is Born Soundtrack,56,606,544,-836,0,9,593,481,0,916,456,86013,4,03:17,Neutral,Train,,0.155231683272838,Heal Me,,Lady Gaga
Queen of Disaster,Scarlett Rose,40,Queen of Disaster,49,688,316,-15548,0,9,357,631,0,387,688,128084,4,03:16,Happy,Test,,0.81942024568004,Queen Of Disaster,,Scarlett Rose
Leave Em Alone,Quality Control,65,Leave Em Alone,59,517,747,-474,0,6,296,189,0.000735,821,506,102033,4,02:52,Neutral,Validation,,0.698820346694877,Leave Em Alone,,Quality Control
Hurts So Good,Astrid S,66,Astrid S,68,675,609,-5027,0,7,586,84,0,957,378,120039,4,03:29,Neutral,Validation,,0.721097357992403,Hurts So Good,,Astrid S
Confident,Justin Bieber,90,Journals,65,738,563,-5467,0,5,11,113,0,191,876,134132,4,04:08,Happy,Validation,,0.779902022195012,Confident,,Justin Bieber
I'd Rather Sleep,Kero Kero Bonito,57,Intro Bonito,68,765,579,-7051,1,10,496,107,362,15,855,142065,4,01:55,Happy,Train,,0.158551482542869,I'D Rather Sleep,,Kero Kero Bonito
Coffee Breath,Sofia Mills,53,Coffee Breath,70,866,211,-12676,0,11,404,974,0,987,198,101295,4,02:44,Sad,Train,,0.435553857189312,Coffee Breath,,Sofia Mills
Ready or Not,Bridgit Mendler,62,Hello My Name Is...,73,715,872,-3835,1,2,509,351,0.00384,107,748,93043,4,03:21,Happy,Train,,0.192406695759043,Ready Or Not,,Bridgit Mendler
Toosie Slide,Drake,95,Toosie Slide,73,834,454,-975,0,1,201,321,0.000615,114,837,81618,4,04:07,Happy,Train,,0.0578637142743208,Toosie Slide,,Drake
Roses - Imanbek Remix,Saint Jhn,70,Roses (Imanbek Remix),81,77,724,-5484,1,8,495,167,107,353,898,121975,4,02:57,Happy,Train,,0.179235834232901,Roses - Imanbek Remix,,Saint Jhn
Go Crazy,Chris Brown,86,Slime & B,77,755,578,-8932,0,0,145,316,0,25,581,94148,4,02:57,Neutral,Validation,,0.60576467680742,Go Crazy,,Chris Brown
No Guidance (feat. Drake),Chris Brown,86,Indigo,79,696,454,-6756,0,1,153,123,0,155,136,92928,4,04:21,Sad,Test,,0.963267532504465,No Guidance (Feat. Drake),,Chris Brown
Please Mr. Postman - Single Version / Mono,The Marvelettes,49,Please Mr. Postman,64,785,776,-5259,1,2,312,729,0,181,967,121505,4,02:28,Happy,Train,,0.261891812886315,Please Mr. Postman - Single Version / Mono,,The Marvelettes
Get Up (feat. Chamillionaire),Ciara,68,The Evolution,47,964,595,-6887,0,1,109,248,0.000514,405,629,128593,4,04:22,Neutral,Train,,0.206997697299928,Get Up (Feat. Chamillionaire),,Ciara
Lay All Your Love On Me,Abba,80,ABBA Gold,72,695,701,-6435,1,0,281,187,464,251,58,1330,4,04:33,Sad,Test,,0.852859081018303,Lay All Your Love On Me,,Abba
Vibe (If I Back It Up),Cookiee Kawaii,53,Vibe (If I Back It Up),53,754,568,-8719,1,10,344,635,932,118,175,159947,4,01:24,Sad,Test,,0.904415815972378,Vibe (If I Back It Up),,Cookiee Kawaii
Something New (feat. Ty Dolla $ign),Wiz Khalifa,82,Rolling Papers 2,59,814,635,-6609,0,7,809,935,0,892,784,87581,4,03:21,Happy,Validation,,0.791769191518298,Something New (Feat. Ty Dolla $Ign),,Wiz Khalifa
Magic In The Hamptons (feat. Lil Yachty),Social House,64,Magic In The Hamptons (feat. Lil Yachty),75,769,479,-5339,1,1,385,66,0,914,803,96051,4,02:45,Happy,Test,,0.943845276545203,Magic In The Hamptons (Feat. Lil Yachty),,Social House
Watermelon Sugar,Harry Styles,91,Watermelon Sugar,27,548,816,-4209,1,0,465,122,0,335,557,9539,4,02:54,Neutral,Train,,0.287455135098691,Watermelon Sugar,,Harry Styles
Paradise,Coldplay,87,Mylo Xyloto,82,449,585,-6761,1,5,268,509,0.00875,833,212,139631,4,04:39,Sad,Validation,,0.69414062926714,Paradise,,Coldplay
Cyber Sex,Doja Cat,88,Hot Pink,71,917,657,-5716,1,8,921,318,0.000362,754,818,13103,4,02:46,Happy,Validation,,0.716547140725399,Cyber Sex,,Doja Cat
We Know,Lin-Manuel Miranda,71,Hamilton (Original Broadway Cast Recording),60,718,484,-10376,1,11,523,312,0,127,692,113855,4,02:22,Happy,Train,,0.345016278957013,We Know,,Lin-Manuel Miranda
All The Stars (with SZA),Kendrick Lamar,88,Black Panther The Album Music From And Inspired By,82,698,633,-4946,1,8,597,605,194,926,552,96924,4,03:52,Neutral,Test,,0.800766333722948,All The Stars (With Sza),,Kendrick Lamar
Because Of You,Ne-Yo,77,Because Of You,74,81,538,-5784,0,0,356,528,0,951,828,10997,4,04:27,Happy,Test,,0.907256974153796,Because Of You,,Ne-Yo
Chanel,Frank Ocean,82,Chanel,78,776,503,-5732,0,0,237,874,0,112,473,110134,4,03:30,Neutral,Train,,0.280438670559234,Chanel,,Frank Ocean
Round of Applause,K'Ron,28,Round of Applause,44,42,656,-6776,0,11,678,494,0,36,448,110457,4,05:46,Neutral,Validation,,0.655186425866667,Round Of Applause,,K'Ron
Daisy,Ashnikko,69,DEMIDEVIL,71,834,663,-6143,1,8,133,235,0,372,774,121876,4,02:27,Happy,Train,,0.484891320797713,Daisy,,Ashnikko
"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",Bee Gees,75,Greatest,63,632,683,-6434,1,7,383,163,13,847,701,105955,4,03:17,Happy,Train,,0.25687114936337,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",,Bee Gees
Won't Bite (feat. Smino),Doja Cat,88,Hot Pink,68,807,783,-3115,1,5,964,351,0,14,592,127996,4,03:15,Neutral,Train,,0.324965642735693,Won'T Bite (Feat. Smino),,Doja Cat
Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs,64,Heads Will Roll,61,744,614,-3908,0,1,838,685,334,708,774,131994,4,06:24,Happy,Train,,0.381721877832112,Heads Will Roll - A-Trak Remix,,Yeah Yeah Yeahs
Just Can’t Get Enough,Black Eyed Peas,80,The Beginning,76,659,628,-8685,0,0,179,186,0,105,262,9405,4,03:39,Sad,Train,,0.365182035203525,Just Can’T Get Enough,,Black Eyed Peas
Drugs,Upsahl,61,Drugs,68,883,415,-8571,0,6,174,35,0,63,318,76986,4,02:36,Sad,Train,,0.181669019385918,Drugs,,Upsahl
SUGAR,Brockhampton,68,GINGER,73,453,538,-8212,1,1,638,449,0,19,516,122973,4,03:25,Neutral,Train,,0.055406476752394,Sugar,,Brockhampton
Y U Gotta B Like That,Audrey Mika,56,Y U Gotta B Like That,58,732,413,-6353,1,9,702,287,0,565,761,92066,4,02:34,Happy,Train,,0.176666927095273,Y U Gotta B Like That,,Audrey Mika
Take Your Man,Mahogany Lox,37,Take Your Man,54,934,658,-8052,1,0,108,411,738,809,344,110015,4,01:57,Sad,Test,,0.981382619544805,Take Your Man,,Mahogany Lox
Save Your Tears,The Weeknd,93,After Hours,88,68,826,-5487,1,0,309,212,0.00124,543,644,118051,4,03:36,Neutral,Train,,0.354740698571108,Save Your Tears,,The Weeknd
Love Songs,Kaash Paige,61,R&B Smooth Vibes,1,64,355,-10599,1,5,906,83,938,11,451,120063,4,02:29,Neutral,Train,,0.303041268371124,Love Songs,,Kaash Paige
GOOBA,6Ix9Ine,71,GOOBA,7,611,688,-5688,1,1,341,264,0,251,393,178462,4,02:12,Neutral,Train,,0.486182289771342,Gooba,,6Ix9Ine
Bored In The House,Tyga,79,Bored In The House,53,928,372,-10393,1,1,321,202,0.000096,948,732,112458,4,02:55,Happy,Validation,,0.618484717602928,Bored In The House,,Tyga
Bound 2,Kanye West,90,Yeezus,83,367,665,-2821,1,1,465,145,0,113,31,148913,4,03:49,Sad,Train,,0.114409886335068,Bound 2,,Kanye West
Still into You,Paramore,75,Paramore,79,602,923,-3763,1,5,44,98,0,561,765,13601,4,03:36,Happy,Test,,0.814008108659022,Still Into You,,Paramore
Don't Wanna Fall In Love,Kyle,66,Smyle (Extended),0,487,617,-69,1,0,275,151,0,356,604,132088,4,03:52,Neutral,Validation,,0.781235776414508,Don'T Wanna Fall In Love,,Kyle
prom dress,Mxmtoon,67,the masquerade,73,56,674,-6048,1,10,446,698,0,123,421,119942,4,03:18,Neutral,Train,,0.503166041852565,Prom Dress,,Mxmtoon
fast,Sueco,65,fast,0,877,503,-10269,0,7,22,164,132,102,529,100069,4,02:24,Neutral,Train,,0.401635755744278,Fast,,Sueco
High Fashion (feat. Mustard),Roddy Ricch,80,Please Excuse Me for Being Antisocial,73,831,499,-8442,0,11,114,269,0,3,511,97956,4,03:40,Neutral,Train,,0.412502305034643,High Fashion (Feat. Mustard),,Roddy Ricch
Knock at the Door,Playsongs People,25,Playsongs Rhyme Time,12,604,151,-23928,0,7,883,821,0.00498,867,216,209082,3,00:38,Sad,Train,,0.161667476278213,Knock At The Door,,Playsongs People
Be My Baby,The Ronettes,56,Presenting the Fabulous Ronettes Featuring Veronica,65,512,771,-7006,1,4,402,168,0,895,803,129639,4,02:41,Happy,Test,,0.941165665338182,Be My Baby,,The Ronettes
Something For Your M.I.N.D.,Superorganism,52,Superorganism,58,698,542,-4317,1,2,131,132,117,199,664,140096,4,02:45,Happy,Train,,0.0822915525130549,Something For Your M.I.N.D.,,Superorganism
Mary Jane (All Night Long),Mary J. Blige,70,My Life,61,784,298,-956,0,5,542,125,0.00319,678,846,87172,4,04:39,Happy,Validation,,0.724625206028806,Mary Jane (All Night Long),,Mary J. Blige
Electric Feel,Mgmt,74,Oracular Spectacular,77,763,803,-3713,1,1,351,709,285,348,561,10304,3,03:50,Neutral,Validation,,0.783061671056231,Electric Feel,,Mgmt
Savage Remix (feat. Beyoncé),Megan Thee Stallion,82,Savage Remix (feat. Beyoncé),67,822,743,-4772,0,10,28,16,0,127,636,84459,4,04:02,Neutral,Test,,0.822639427410517,Savage Remix (Feat. Beyoncé),,Megan Thee Stallion
Dancing in My Room,347Aidan,70,Dancing in My Room,75,98,413,-11052,0,8,101,671,0.00795,17,764,119993,4,03:00,Happy,Train,,0.354646867081216,Dancing In My Room,,347Aidan
20 Min,Lil Uzi Vert,85,Luv Is Rage 2 (Deluxe),83,773,75,-4009,0,8,117,109,0,174,783,123426,4,03:41,Happy,Train,,0.495411892234395,20 Min,,Lil Uzi Vert
Throw That Back Like a Cadillac,El Memer,1,Throw That Back Like a Cadillac,0,894,627,-9408,1,7,639,758,0,108,383,13991,4,01:58,Neutral,Train,,0.552873893818952,Throw That Back Like A Cadillac,,El Memer
Gangsta,Kehlani,76,SweetSexySavage (Deluxe),56,465,446,-8336,0,10,433,102,0,321,131,121801,4,02:58,Sad,Validation,,0.618612130985664,Gangsta,,Kehlani
Monster,Lady Gaga,84,The Fame Monster (Deluxe Edition),61,694,801,-4503,0,9,441,124,0,479,646,119969,4,04:09,Neutral,Test,,0.950683314320631,Monster,,Lady Gaga
My Ordinary Life,The Living Tombstone,69,My Ordinary Life,79,648,827,-478,0,9,42,533,338,217,598,176005,4,03:51,Neutral,Train,,0.341344573700864,My Ordinary Life,,The Living Tombstone
Walked In,Ultradiox,29,Walked In,41,891,538,-6724,1,2,394,123,0,848,643,80032,4,01:47,Neutral,Train,,0.50047124034956,Walked In,,Ultradiox
Lemonade,Internet Money,72,"Lemonade (feat. Gunna, Don Toliver & NAV)",76,799,66,-6153,0,1,79,256,0,111,471,14004,4,03:15,Neutral,Test,,0.994706014415816,Lemonade,,Internet Money
F2020,Avenue Beat,47,F2020,0,702,597,-7067,1,2,207,587,0.000362,112,383,85016,4,03:02,Neutral,Validation,,0.650470258640326,F2020,,Avenue Beat
Desperado,Rihanna,87,ANTI (Deluxe),72,685,61,-5221,0,0,439,323,0,102,323,94384,3,03:06,Sad,Train,,0.114276384777383,Desperado,,Rihanna
Tap In,Saweetie,73,Tap In,67,954,696,-7117,0,10,204,576,498,754,432,100036,4,02:19,Neutral,Train,,0.485122405447888,Tap In,,Saweetie
Good Form (feat. Lil Wayne) - Remix,Nicki Minaj,85,Queen (Deluxe),64,898,733,-475,1,7,178,533,115,102,295,9651,4,03:57,Sad,Validation,,0.744937953911752,Good Form (Feat. Lil Wayne) - Remix,,Nicki Minaj
Island In The Sun,Weezer,73,Weezer (Green Album),78,654,81,-626,0,4,288,719,251,165,661,114623,4,03:20,Happy,Train,,0.291072096197084,Island In The Sun,,Weezer
Deep End Freestyle,Sleepy Hallow,77,Deep End Freestyle,64,876,479,-6687,0,4,44,703,0,102,776,133858,4,01:55,Happy,Train,,0.473340262416669,Deep End Freestyle,,Sleepy Hallow
Ramalama (Bang Bang),Róisín Murphy,52,Ruby Blue,52,822,655,-8316,1,9,363,205,535,1,518,106977,4,03:35,Neutral,Validation,,0.727835341710319,Ramalama (Bang Bang),,Róisín Murphy
Outside (feat. Ellie Goulding),Calvin Harris,86,Motion,78,646,823,-4123,0,2,394,213,0,322,418,128035,4,03:47,Neutral,Test,,0.925098878683225,Outside (Feat. Ellie Goulding),,Calvin Harris
Only The Young - Featured in Miss Americana,Taylor Swift,93,Only The Young (Featured in Miss Americana),64,56,78,-4895,0,5,517,244,0,714,602,93516,4,02:38,Neutral,Test,,0.871914014106084,Only The Young - Featured In Miss Americana,,Taylor Swift
Wet (She Got That…),Yfn Lucci,58,Wet (She Got That…),56,695,642,-613,0,1,194,238,0,359,316,128022,4,03:30,Sad,Validation,,0.71870779611322,Wet (She Got That…),,Yfn Lucci
Walk Man,Tiny Meat Gang,52,Walk Man,59,928,696,-4972,0,4,866,331,119,121,396,94994,4,02:46,Neutral,Train,,0.0236613547376878,Walk Man,,Tiny Meat Gang
Marlboro Nights,Lonely God,59,Marlboro Nights,0,497,825,-6772,1,2,278,166,284,361,812,87943,4,01:09,Happy,Test,,0.801173215673295,Marlboro Nights,,Lonely God
Aesthetic,Xilo,39,Aesthetic,2,714,594,-1063,1,0,43,965,255,129,45,169837,4,02:38,Sad,Train,,0.00594416445556156,Aesthetic,,Xilo
Paris,Else,49,Paris,63,792,583,-8305,0,8,27,23,582,809,54,102979,4,03:30,Sad,Train,,0.323066287166873,Paris,,Else
Do It,Chloe X Halle,60,Ungodly Hour,67,725,668,-7286,0,5,55,932,0.000233,112,566,82966,4,02:57,Neutral,Validation,,0.719192262701311,Do It,,Chloe X Halle
Hello?,Clairo,75,diary 001,68,839,473,-7835,0,10,607,641,459,939,644,98732,4,02:15,Neutral,Train,,0.0627003728019295,Hello?,,Clairo
Yellow Hearts (feat. Audrey Mika),Ant Saunders,52,Yellow Hearts (feat. Audrey Mika),55,816,401,-8041,1,7,22,464,0,657,678,129041,4,03:01,Happy,Train,,0.0964052095512689,Yellow Hearts (Feat. Audrey Mika),,Ant Saunders
Love Story (Taylor’s Version),Taylor Swift,93,Love Story (Taylor’s Version),73,626,79,-4302,1,2,311,135,0.000397,989,416,119082,4,03:56,Neutral,Train,,0.448829665317108,Love Story (Taylor’S Version),,Taylor Swift
Another Day Of Sun,La La Land Cast,46,La La Land (Original Motion Picture Soundtrack),64,588,742,-6757,1,8,528,162,0.000398,653,824,125819,4,03:48,Happy,Train,,0.0353152834571632,Another Day Of Sun,,La La Land Cast
iSpy (feat. Lil Yachty),Kyle,66,iSpy (feat. Lil Yachty),72,746,653,-6745,1,7,289,378,0,229,672,75016,4,04:13,Happy,Train,,0.355104434515223,Ispy (Feat. Lil Yachty),,Kyle
Vibin',Kesh Kesh,26,Vibin',41,686,805,-6816,0,11,154,478,0.000109,887,289,130981,4,02:35,Sad,Train,,0.462889711839685,Vibin',,Kesh Kesh
Hungry Hippo,Tierra Whack,58,Whack World,57,893,61,-5691,0,4,488,227,744,102,778,13664,4,01:00,Happy,Test,,0.890974974309548,Hungry Hippo,,Tierra Whack
Becky,Championxiii,39,Champion Status,46,934,439,-9564,0,4,338,506,0,92,289,140022,4,01:59,Sad,Train,,0.379221625875303,Becky,,Championxiii
Kraazy,Likybo,43,Million Dollar Mindset,60,689,701,-9477,0,6,237,314,0,123,37,94982,4,02:32,Sad,Train,,0.580829039588764,Kraazy,,Likybo
Kream (feat. Tyga),Iggy Azalea,69,Survive The Summer,66,785,425,-6665,1,10,137,335,0.000436,108,192,174028,4,02:47,Sad,Train,,0.241166158958534,Kream (Feat. Tyga),,Iggy Azalea
Let Go,Ark Patrol,54,Let Go,70,47,436,-10228,1,0,351,67,263,294,389,81972,3,04:08,Neutral,Train,,0.146502988986829,Let Go,,Ark Patrol
Lost,Frank Ocean,82,channel ORANGE,84,913,603,-4892,1,8,226,272,503,167,497,123061,4,03:54,Neutral,Train,,0.417658114881452,Lost,,Frank Ocean
Still Don't Know My Name,Labrinth,78,Euphoria (Original Score from the HBO Series),78,316,63,-5963,1,5,117,471,262,205,313,89643,1,02:33,Sad,Test,,0.980293517229658,Still Don'T Know My Name,,Labrinth
Disco Inferno,50 Cent,82,The Massacre,73,925,659,-4763,1,3,231,206,0.00788,279,71,97018,4,03:34,Sad,Train,,0.44881735564364,Disco Inferno,,50 Cent
Famous (I'm The One) (feat. Yo Gotti & DeJ Loaf),Mozzy,68,Gangland Landlord,56,432,612,-8846,0,11,211,185,0,308,253,88716,4,03:25,Sad,Train,,0.461863973666099,Famous (I'M The One) (Feat. Yo Gotti & Dej Loaf),,Mozzy
Marry Me,Rasheeda,40,Boss B*tch Music Vol. 3,41,769,637,-64,1,8,572,476,0.00615,35,361,79016,4,03:55,Neutral,Test,,0.837398137279133,Marry Me,,Rasheeda
TKN (feat. Travis Scott),Rosalía,83,TKN (feat. Travis Scott),72,776,509,-6266,0,0,467,192,0.000149,115,485,94634,4,02:09,Neutral,Train,,0.519868702032422,Tkn (Feat. Travis Scott),,Rosalía
Do It Again,Pia Mia,61,Do It Again,73,712,564,-6527,1,8,47,266,0,874,411,9595,4,03:28,Neutral,Train,,0.354544403781445,Do It Again,,Pia Mia
223's (feat. 9lokknine),Ynw Melly,73,223's (feat. 9lokknine),65,932,547,-7787,0,0,333,388,0,924,695,94998,4,02:57,Happy,Train,,0.00676037846704314,223'S (Feat. 9Lokknine),,Ynw Melly
VALENTINO,24Kgoldn,74,DROPPED OUTTA COLLEGE,72,746,717,-4841,0,9,179,199,0,132,523,150964,4,02:59,Neutral,Train,,0.178939606381844,Valentino,,24Kgoldn
May I,Flo Milli,67,"Ho, why is you here ?",61,896,78,-3547,1,1,202,828,0,857,85,106032,4,02:43,Sad,Train,,0.0801855451501047,May I,,Flo Milli
THICK (feat. Megan Thee Stallion) - Remix,Dj Chose,46,THICK (feat. Megan Thee Stallion) [Remix],52,877,747,-5873,1,4,365,288,0,273,679,145162,4,03:25,Happy,Validation,,0.616370825650042,Thick (Feat. Megan Thee Stallion) - Remix,,Dj Chose
Rake It Up (feat. Nicki Minaj),Yo Gotti,69,I Still Am,67,91,444,-8126,0,1,344,22,0,137,53,149953,4,04:36,Sad,Validation,,0.688916769781997,Rake It Up (Feat. Nicki Minaj),,Yo Gotti
Crisis,Jasiah,62,Crisis,59,76,794,-4311,0,10,344,263,324,996,583,16599,4,01:50,Neutral,Train,,0.418345794436479,Crisis,,Jasiah
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,53,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],65,824,854,-5312,1,8,177,16,0.00495,117,896,95114,4,03:30,Happy,Test,,0.989603333038611,Banana (Feat. Shaggy) - Dj Fle - Minisiren Remix,,Conkarah
Ponteme Despalda,Nfasis,54,Ponteme Despalda,6,78,766,-772,1,0,7,181,172,342,441,96011,4,01:17,Neutral,Train,,0.339470110158489,Ponteme Despalda,,Nfasis
When She Loved Me,Lyn Lapid,61,When She Loved Me,61,604,458,-19031,1,4,762,973,0,963,617,76235,3,03:08,Neutral,Train,,0.0674039883437883,When She Loved Me,,Lyn Lapid
Say It Right,Nelly Furtado,74,Loose,79,872,872,-6328,1,1,139,476,112,543,809,116948,4,03:43,Happy,Train,,0.113761727112343,Say It Right,,Nelly Furtado
To the Right,Devour,46,Different,38,946,671,-5534,1,0,724,204,0,178,731,100013,4,02:45,Happy,Test,,0.946587947456017,To The Right,,Devour
Let It Happen,Tame Impala,78,Currents,74,602,881,-5875,0,1,443,462,266,111,577,125012,4,07:48,Neutral,Train,,0.0413049162994986,Let It Happen,,Tame Impala
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,72,B4 The Storm,77,8,658,-6142,0,1,79,25,0,111,462,140042,4,03:15,Neutral,Test,,0.834792121995432,"Lemonade (Feat. Gunna, Don Toliver & Nav)",,Internet Money
Let's Do It Again,J Boog,57,Backyard Boogie,65,631,696,-5631,0,0,211,578,0,784,927,173537,4,03:12,Happy,Test,,0.906267429092026,Let'S Do It Again,,J Boog
SLOW DANCING IN THE DARK,Joji,85,BALLADS 1,85,515,479,-7458,1,3,261,544,598,191,284,88964,4,03:29,Sad,Test,,0.863193871262378,Slow Dancing In The Dark,,Joji
hate u love u,Olivia O'Brien,69,hate u love u,74,407,416,-8915,0,6,174,656,0,981,246,176947,4,02:55,Sad,Validation,,0.668213234160684,Hate U Love U,,Olivia O'Brien
Laxed – Siren Beat,Jawsh 685,63,Laxed (Siren Beat),54,736,62,-8481,0,0,11,577,692,318,959,150026,4,03:22,Happy,Train,,0.0327149475148424,Laxed – Siren Beat,,Jawsh 685
Get It Together,Drake,95,More Life,71,781,721,-9133,0,5,514,945,391,104,849,123011,4,04:10,Happy,Train,,0.592659387154305,Get It Together,,Drake
Pocketful of Sunshine,Natasha Bedingfield,64,Pocketful Of Sunshine,69,721,88,-3896,0,9,454,191,0,769,655,110021,4,03:23,Happy,Train,,0.540008497267751,Pocketful Of Sunshine,,Natasha Bedingfield
Always Forever,Cults,68,Static,80,174,742,-593,1,8,485,181,281,198,36,163378,4,03:44,Sad,Train,,0.454106843563018,Always Forever,,Cults
Party Party Party (feat. Chris Brown & Dej Loaf),Dj Carisma,30,Party Party Party (feat. Chris Brown & Dej Loaf),47,601,602,-5763,1,7,183,376,0.00334,318,564,94919,4,03:11,Neutral,Test,,0.845969609397713,Party Party Party (Feat. Chris Brown & Dej Loaf),,Dj Carisma
Interior Crocodile Alligator,Chip Tha Ripper,45,Interior Crocodile Alligator,45,742,727,-6914,1,1,487,136,0,259,774,178401,4,01:50,Happy,Train,,0.393680102010288,Interior Crocodile Alligator,,Chip Tha Ripper
One Wish,Ray J,55,Raydiation,63,525,652,-7042,0,5,28,278,0,339,602,127673,4,05:38,Neutral,Train,,0.521072722734638,One Wish,,Ray J
Baby I'm Yours,Breakbot,57,By Your Side,69,829,792,-3755,0,2,668,726,0.000583,122,758,11805,4,03:36,Happy,Train,,0.207592917871834,Baby I'M Yours,,Breakbot
Cha Cha,Freddie Dredd,72,Cha Cha,69,792,698,-6364,1,1,172,489,788,127,751,129971,4,02:54,Happy,Train,,0.406789418942211,Cha Cha,,Freddie Dredd
Go Go Go Who's Next?,Hip Hop Harry,21,Go Go Go Who's Next?,35,95,738,-9504,0,10,323,113,209,112,568,104998,4,03:09,Neutral,Validation,,0.716461296068935,Go Go Go Who'S Next?,,Hip Hop Harry
No Role Modelz,J. Cole,84,2014 Forest Hills Drive,87,69,521,-8492,0,10,339,324,0,534,494,100028,4,04:53,Neutral,Validation,,0.68894545776748,No Role Modelz,,J. Cole
Addison Rae,The Kid Laroi,83,Addison Rae,59,901,49,-9099,0,5,129,155,0,109,397,135015,4,02:44,Neutral,Test,,0.940485919582997,Addison Rae,,The Kid Laroi
WHATS POPPIN,Jack Harlow,84,Sweet Action,77,923,604,-6671,0,11,245,17,0,272,826,145062,4,02:20,Happy,Train,,0.175173830957654,Whats Poppin,,Jack Harlow
Cheryl,Yung Gravy,75,Cheryl,62,801,698,-8998,0,0,33,477,0.000146,184,502,765,4,02:49,Neutral,Train,,0.304934256016321,Cheryl,,Yung Gravy
Ultralight Beam,Kanye West,90,The Life Of Pablo,70,592,403,-8768,0,0,414,62,0,54,391,105169,4,05:21,Neutral,Validation,,0.674447603849424,Ultralight Beam,,Kanye West
Mr. Clean,Yung Gravy,75,Snow Cougar,72,758,701,-6053,1,9,162,685,0.000622,114,626,10674,4,03:31,Neutral,Train,,0.0987786914286688,Mr. Clean,,Yung Gravy
feel something,Bea Miller,68,feel something,71,74,415,-8914,1,0,707,242,156,319,156,136029,4,03:00,Sad,Train,,0.327261648137531,Feel Something,,Bea Miller
Rodeo,Lil Nas X,81,7 EP,68,706,679,-5614,1,9,324,139,0.00698,465,657,140081,4,02:39,Happy,Train,,0.0682209750218236,Rodeo,,Lil Nas X
Then Leave (feat. Queendom Come),Beatking,49,Then Leave (feat. Queendom Come),57,912,568,-6107,1,2,476,656,105,521,491,140968,4,02:32,Neutral,Validation,,0.673533987749169,Then Leave (Feat. Queendom Come),,Beatking
I Wanna Love You,Akon,79,Konvicted (Complete Edition),64,863,501,-8753,0,9,433,164,0,272,357,99994,4,04:07,Neutral,Validation,,0.788345185570461,I Wanna Love You,,Akon
Everybody Talks,Neon Trees,66,Picture Show,79,471,924,-3906,1,8,586,301,0,313,725,154961,4,02:57,Happy,Validation,,0.730627764186685,Everybody Talks,,Neon Trees
Can't Leave 'Em Alone (feat. 50 Cent),Ciara,68,The Evolution,61,527,696,-6015,0,1,361,209,0,516,499,100614,4,04:05,Neutral,Train,,0.182767818189341,Can'T Leave 'Em Alone (Feat. 50 Cent),,Ciara
Moment 4 Life,Nicki Minaj,85,Pink Friday (Complete Edition),52,68,881,-3883,1,11,237,406,0,242,386,97941,4,04:39,Neutral,Validation,,0.635342602007355,Moment 4 Life,,Nicki Minaj
We R Who We R,Kesha,76,Cannibal (Expanded Edition),72,736,817,-49,1,8,407,987,167,117,653,11995,4,03:25,Happy,Train,,0.0913044042774069,We R Who We R,,Kesha
Give Your Heart a Break,Demi Lovato,79,Unbroken,70,651,695,-3218,1,6,487,23,0,144,569,123008,4,03:25,Neutral,Validation,,0.719001875280343,Give Your Heart A Break,,Demi Lovato
Lucky,Britney Spears,78,Oops!... I Did It Again,66,765,791,-5707,1,8,317,262,154,669,966,95026,4,03:26,Happy,Validation,,0.612104788831304,Lucky,,Britney Spears
Buttons,The Pussycat Dolls,68,PCD,65,57,821,-438,1,2,267,178,0,289,408,210857,4,03:46,Neutral,Validation,,0.677420275133111,Buttons,,The Pussycat Dolls
Get Busy,Sean Paul,79,Dutty Rock,74,735,824,-4143,0,10,36,615,0,158,726,100202,4,03:32,Happy,Test,,0.851832035346574,Get Busy,,Sean Paul
